"V01_Row_ID","Chapter","Zone","Building","Area","Feature","Subfeature","Semantic_Object_or_Group","Evidence_Class","Evidence_Source","Physical_Location","Functional_Role","Must_Show","Recommended_Shot_Type","Recommended_Camera_Height","Recommended_View_Direction","Recommended_Duration_Sec","Needs_Multiple_Angles","Needs_World_Label","Needs_Overlay","Needs_Animation","Associated_Features","Coverage_Criteria","Potential_Occlusion","Technical_Risk","Planning_State","Notes","V02_Status","Evidence_Closure","Final_Evidence_Source","Final_Shot_IDs","Final_Coverage_Duration","Coverage_Confidence"
"CH06-03","CH06 — GLASS DECK + SMART FACTORY OVERVIEW","GLASS DECK","Glass Deck","Access","West stair","Full 12-step access run","GLASS_DECK_WEST_STAIR; GLASS_DECK_WEST_STAIR_STEP_01..12; PRES_GLASS_DECK_WEST_ACCESS","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","West edge of Glass Deck","Credible visitor access","Show stair, landing, handoff to glazing and deck","slow walking-height climb and arc","walking height","bottom to top of west stair","20","Y","Y","WEST GLASS DECK ACCESS","N","Glass Deck exterior; plaza","West access is distinct from east access","Architecture may crowd stair","Keep lens wider than portrait shot","REQUIRED","Use as second access proof.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S028","20","HIGH"
"CH06-04","CH06 — GLASS DECK + SMART FACTORY OVERVIEW","GLASS DECK","Glass Deck","Access","Central stair and lift","Stair, lift enclosure, central landing","GLASS_DECK_CENTRAL_STAIR; GLASS_DECK_CENTRAL_STAIR_STEP_01..12; GLASS_DECK_CENTRAL_LIFT; GLASS_DECK_CENTRAL_LIFT_FRAME; PRES_GLASS_DECK_CENTRAL_ACCESS","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Central Glass Deck access","Primary public access and vertical movement","Show stair geometry, lift enclosure, landing and relationship to deck","restrained dolly and slight crane","walking height","front oblique toward lift","30","Y","Y","CENTRAL STAIR / LIFT","N","Glass Deck interior; production oversight","Access feels credible and readable","Lift can be hidden by stair geometry","Need one frontal and one oblique","REQUIRED","Central route receives most emphasis.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S029","30","HIGH"
"CH06-05","CH06 — GLASS DECK + SMART FACTORY OVERVIEW","GLASS DECK","Glass Deck","Interior","Walkway and meeting/operations view","Interior travel, timber floor, view through glass","GLASS_DECK_LINK_FLOOR; DECK_TIMBER_FLOOR; GLASS_DECK_LINK; MES_GLASS; MES_ROOM","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Inside Glass Deck link","Visitor experience over factory","Enter deck, travel along glazing, look through to production and internal operations where modeled","slow interior dolly with 3-second holds","eye level","along deck toward production","36","Y","Y","GLASS DECK INTERIOR","N","MES/control; production floor","Viewer sees why deck exists","Interior geometry may be sparse","Do not substitute exterior flyby","REQUIRED","Non-negotiable owner requirement.","EXTEND_KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S030","40","HIGH"
"CH06-06","CH06 — GLASS DECK + SMART FACTORY OVERVIEW","PRODUCTION","MES / control","Operations","MES/control relationship","Control room, consoles, screens, glass relation","MES_ROOM; MES_CONSOLE; MES_CONSOLE002; MES_SCREEN; MES_SCREEN001; MES_GLASS","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production oversight edge","Digital operations visibility","Show screens/consoles and line-of-sight to production without inventing live data","near-static interior hold and glass reveal","eye level","console toward glazing","28","Y","Y","MES / CONTROL ROOM","N","Glass Deck; production lines","Control relationship is spatially clear","Screens are modeled proxies, not live dashboards","No fabricated metrics or status","REQUIRED","Silent visual; overlays must be restrained.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S031","28","HIGH"
"CH06-07","CH06 — GLASS DECK + SMART FACTORY OVERVIEW","PRODUCTION","Production Hall","Overview","Production hall sectional reveal","Roof/wall separation and process zoning","PRODUCTION_ROOF; PRODUCTION_FLOOR; PRODUCTION_WALL_*; Production_Hall; PRES_08_PROCESS_HALL","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production Hall central interior/exterior","Explain organization before process details","Reveal roof/walls enough to show receiving, wet process, manufacturing, packaging flow","slow crane/section reveal then human-scale return","high to eye level","southwest to northeast across hall","18","Y","N","PRODUCTION HALL / zoning","N","Glass Deck; RM/FG flows","Spatial zoning reads without sci-fi exaggeration","Section reveal can feel like a cutaway gimmick","Use restrained opacity and no teleport","REQUIRED","Transition to material flow.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S032","18","HIGH"
"CH07-01","CH07 — MATERIALS + WET PROCESSING","LOGISTICS","Raw materials","Receiving","Raw Material Receiving","Dock, truck yard, leveler, load/pallet","RM_DOCK; RM_LEVELER; RM_Truck_Yard; RM_LOAD; RM_PALLET; PRES_09_RM_LOGISTICS","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","North/east logistics edge","Beginning of material flow","Show arrival vehicle zone, dock interface, pallet entry and separation from people","slow vehicle-height approach with hold","vehicle height","toward RM dock","18","Y","Y","RAW MATERIAL RECEIVING","N","RM warehouse; chemical storage; pedestrian spine","Material flow begins visibly at a dock","Pallet repetition can flatten","Need truck/dock relationship even if trucks are proxy","REQUIRED","Do not jump directly to tanks.","MERGED_ANCHOR","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S033","34","HIGH"
"CH07-02","CH07 — MATERIALS + WET PROCESSING","LOGISTICS","Raw Material Warehouse","Warehouse","Raw Material Warehouse","Racks, aisles, pallets, dock interface","RM_Warehouse; RM_RACK_FRAME; RM_PALLET*; RM_LOAD; RM_DOCK; PRES_28_RM_WAREHOUSE","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","North/east warehouse","Storage and internal scale","Enter aisle, show rack height, pallets and dock relationship","slow aisle dolly with aisle hold","eye level","down aisle toward dock","24","Y","Y","RAW MATERIAL WAREHOUSE","N","RM receiving; RM supermarket; AMR/logistics","Interior scale and function are understandable","Regular rack repetition can look procedural","Use selective labels and depth","REQUIRED","Meaningful interior coverage required.","MERGED_INTO","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S033","34","HIGH"
"CH07-03","CH07 — MATERIALS + WET PROCESSING","LOGISTICS","Chemical storage","Protected receiving","Chemical storage/unloading","IBC tanks, frames, pump and compound","Chemical_Compound; IBC_TANK; IBC_FRAME; RM_PUMP_00; RM_DOCK; RM_LOAD","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","RM logistics edge","Controlled chemical input","Show IBC/pump/dock relationship and mark exact skid as not modeled","medium shot plus detail","eye level","side-on to IBC and pump","24","Y","Y","CHEMICAL STORAGE / controlled zone","N","RM receiving; wet process","Viewer sees a protected input area without overclaiming","No explicit unloading skid","Overlay must say modeled proxies only","REQUIRED","Exact chemical system fidelity is limited.","KEEP","HSE source documents the safety logic; REV004.1 supports presentation-level spatial evidence. No detailed compliance claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 4,12,16,19-24","M06V02-S034","24","HIGH"
"CH07-04","CH07 — MATERIALS + WET PROCESSING","LOGISTICS","RM supermarket","Feeding","RM supermarket and liquid feeding","Bins, manifold, pump, header","RM_SUPERMARKET; RM_SUPER_BIN; RM_MANIFOLD; RM_FEED_HEADER; RM_PUMP_00; RM_LOAD","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","RM warehouse/production transition","Stage and feed ingredients","Show storage-to-header/manifold relationship and route toward process hall","slow lateral track with flow overlay","eye level","warehouse toward process hall","48","Y","Y","RM SUPERMARKET → FEEDING","N","Chemical storage; ProcessTank_01..11","Process continuity is visible from storage to feed","Dense props may obscure pipes","Use one flow overlay, no false animation","REQUIRED","Major transition shot.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S035","48","HIGH"
"CH07-05","CH07 — MATERIALS + WET PROCESSING","PRODUCTION","Wet processing","Mixing hall","Wet processing and mixing","11 process tanks, platform, epoxy floor, access","ProcessTank_01..11; MIXING_PLATFORM; PROCESS_EPOXY_FLOOR; LABEL_ANCHOR_PROCESS_TANK_01..11; PRES_15_MIXING_HALL","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production Hall west/central wet zone","Core process transformation","Establish hall, identify tank groups, show platform/access and selected labels; not 11 separate beauty shots","slow crane establish → platform dolly → detail holds","medium to eye level","across tank rows","42","Y","Y","TANK HALL / selected tank labels","N","RM feeding; CIP; downstream filling","Tank group, platform and process direction are clear","Tank repetition and roof may occlude","Limit labels to 1–3 at a time","REQUIRED","Primary long production chapter.","EXTEND_KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S036","46","HIGH"
"CH07-06","CH07 — MATERIALS + WET PROCESSING","UTILITIES","Process utilities","Hygiene","CIP and hypochlorite systems","Utility house, pipe bridge, air receiver, chemical proxies","Utility_House; UTILITY_PIPE_BRIDGE; AIR_RECEIVER; SCREW_COMPRESSOR_00; Chemical_Compound; IBC_TANK","A/C","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Utilities/process edge","Hygiene and utility support","Show actual utility proxies and explicitly identify missing dedicated CIP/hypochlorite-specific equipment","slow service-yard move with explanatory hold","eye level","utility house toward process hall","24","Y","Y","UTILITIES / CIP PROXY","N","Wet process; ETP; HSE","Coverage explains modeled support without claiming exact skid","Dedicated CIP skid and PP/FRP vessel not found","Document limitation must remain visible","REQUIRED","C with blocker note in completeness report.","KEEP_WITH_CAVEAT","HSE and equipment documents confirm CIP/hypochlorite functions; model provides Utility House, pipe bridge, air/chemical/IBC proxies only. Do not label a dedicated CIP skid or PP+FRP vessel.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 4,12,16,19-24","M06V02-S037","28","CAVEATED"
"CH07-07","CH07 — MATERIALS + WET PROCESSING","PRODUCTION","Production Hall","Flow bridge","Process flow to downstream","Wet process exit toward filling/manufacturing","ProcessTank_01..11; FILLER_MONOBLOCK_*; EMPTY_BOTTLE_CONVEYOR; FILLED_CONVEYOR_*","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Central process-to-filling route","Connect chapters spatially","Move from tank hall toward filling and show downstream handoff","slow dolly along process spine","eye level","west to east","18","Y","Y","PROCESS FLOW","N","Bottle manufacturing; liquid filling; packaging","Viewer can follow process continuity","Transitions may skip hidden pipework","Use route overlay only where geometry supports","REQUIRED","Bridge shot into manufacturing.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S038","18","HIGH"
"CH08-01","CH08 — MANUFACTURING","PRODUCTION","Bottle line","Bottle manufacturing","Bottle manufacturing","Blow molding, hopper/dryer, leak test, conveyor","Bottle_BlowMolding; EMPTY_BOTTLE*; EMPTY_BOTTLE_CONVEYOR; HOPPER_DRYER; LEAK_TESTER; PRES_19_BOTTLE_MANUFACTURING","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production Hall east/south line","Make primary container","Show line start, machine group, bottle transfer and output direction","slow line-following dolly with detail hold","eye level","along bottle conveyor","28","Y","Y","BOTTLE MANUFACTURING","N","Liquid filling; EOL","Start-to-output relationship is readable","Three modeled blow-molder proxies differ from prior workbook target","Do not claim exact equipment count","REQUIRED","Modeled proxy count limitation documented.","KEEP","Document-closed family/format requirement reconciled to modeled capability group; exact SKU-level equipment fidelity remains outside the frozen visual claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; Brand Strategy slides 2,8-10; Presidential Deck slides 6,9-14; 91-SKU workbook sheets 14(3.4),15(3.4),17(2.5)","M06V02-S039","28","HIGH"
"CH08-02","CH08 — MANUFACTURING","PRODUCTION","Closures line","Caps / closures","Closure manufacturing","Cap assembly, cappers, closure conveyor","Caps_Triggers; CAP_ASSEMBLY; CAPPER_01; CAPPER_02; CLOSURE_CONVEYOR; PRES_20_CAP_TRIGGER","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production Hall east closure zone","Make closures and route them","Show machine cluster and conveyor handoff toward filling","slow lateral line move","eye level","toward closure conveyor","26","Y","Y","CAPS / CLOSURES","N","Trigger spray; bottle line; liquid filling","Closure production and handoff are distinguishable","Generic injection/press proxies","Avoid invented process names","REQUIRED","Group with trigger only if both remain readable.","MERGED_ANCHOR","Document-closed family/format requirement reconciled to modeled capability group; exact SKU-level equipment fidelity remains outside the frozen visual claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; Brand Strategy slides 2,8-10; Presidential Deck slides 6,9-14; 91-SKU workbook sheets 14(3.4),15(3.4),17(2.5)","M06V02-S040","38","HIGH"
"CH08-03","CH08 — MANUFACTURING","PRODUCTION","Trigger line","Trigger spray","Trigger spray manufacturing","Assembly machine and cap/closure interface","TRIGGER_ASSEMBLY; Caps_Triggers; CAPPER_02; CLOSURE_CONVEYOR","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production Hall east trigger zone","Specialized closure capability","Show trigger assembly as a distinct branch and connect to closures","gentle arc with detail hold","eye level","diagonal across assembly","26","Y","Y","TRIGGER SPRAY","N","Caps/closures; filling","Trigger function is not lost inside generic cap shot","Shared zone can cause ambiguity","Use dedicated label and angle","REQUIRED","Separate capability.","MERGED_INTO","Document-closed family/format requirement reconciled to modeled capability group; exact SKU-level equipment fidelity remains outside the frozen visual claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; Brand Strategy slides 2,8-10; Presidential Deck slides 6,9-14; 91-SKU workbook sheets 14(3.4),15(3.4),17(2.5)","M06V02-S040","38","HIGH"
"CH08-04","CH08 — MANUFACTURING","PRODUCTION","Liquid filling","Liquid line","Liquid bottle filling","Filler monoblocks, carousels, drum filler, conveyors","FILLER_MONOBLOCK_01/02; FILLER_CAROUSEL_01/02; DRUM_FILLER; FILLED_CONVEYOR_01/02; PRES_21_LIQUID_FILLING","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Central/east filling zone","Fill liquid products","Show empty bottle arrival, filler groups and filled conveyor departure","slow line-following move with 2–3 labels","eye level","empty bottle to filled conveyor","30","Y","Y","LIQUID FILLING","N","Bottle manufacturing; sachets; packaging","Input/output relationship is explicit","Many repeated bottles can obscure machine body","Select one route and one overview","REQUIRED","Major capability.","EXTEND_KEEP","Document-closed family/format requirement reconciled to modeled capability group; exact SKU-level equipment fidelity remains outside the frozen visual claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; Brand Strategy slides 2,8-10; Presidential Deck slides 6,9-14; 91-SKU workbook sheets 14(3.4),15(3.4),17(2.5)","M06V02-S041","34","HIGH"
"CH08-05","CH08 — MANUFACTURING","PRODUCTION","Sachet line","Liquid sachets","Sachet packaging","FFS machines and output conveyor","LIQUID_FFS_01; LIQUID_FFS_02; Liquid_Packing; FILLED_CONVEYOR_02","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Liquid packaging zone","Serve small-format liquid portfolio","Show film/form/fill/seal proxy group and output route","near-static machine detail then exit track","eye level","along sachet lane","28","Y","Y","LIQUID SACHETS","N","Liquid filling; EOL","Sachet line is independently readable","Some semantic names are not in REV004.1 manifest categories","Use prior V03 route evidence and mark if not reload-confirmed","REQUIRED","Cross-check before M07 implementation.","KEEP","Document-closed family/format requirement reconciled to modeled capability group; exact SKU-level equipment fidelity remains outside the frozen visual claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; Brand Strategy slides 2,8-10; Presidential Deck slides 6,9-14; 91-SKU workbook sheets 14(3.4),15(3.4),17(2.5)","M06V02-S042","28","HIGH"
"CH08-06","CH08 — MANUFACTURING","PRODUCTION","Powder line","Powder","Powder handling and packaging","Bag dump, hoppers, lanes, packers, end conveyor","POWDER_BAG_DUMP_*; POWDER_HOPPER_*; POWDER_LANE*; Powder_Packaging; POWDER_PACKER_*; POWDER_END_CONVEYOR; PRES_23_POWDER","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production Hall north/east powder zone","Handle and pack powder products","Establish powder input, show hopper/lanes, packer and output continuity","slow crane to eye-level line move","medium to eye level","input to output","28","Y","Y","POWDER HANDLING / PACK","N","EOL; warehouse","Powder flow is spatially continuous","Lane repetition","Use one selected lane and overview","REQUIRED","Combine handling and packaging only with clear labels.","KEEP","Document-closed family/format requirement reconciled to modeled capability group; exact SKU-level equipment fidelity remains outside the frozen visual claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; Brand Strategy slides 2,8-10; Presidential Deck slides 6,9-14; 91-SKU workbook sheets 14(3.4),15(3.4),17(2.5)","M06V02-S043","28","HIGH"
"CH08-07","CH08 — MANUFACTURING","PRODUCTION","Toothpaste line","Toothpaste","Toothpaste manufacture and packaging","Homogenizer, vacuum mixer, holding, motor, filler/FFS/cartoner","Toothpaste; TOOTHPASTE_HOMOGENIZER; TOOTHPASTE_VACUUM_MIXER; TOOTHPASTE_HOLDING; TOOTHPASTE_MOTOR; TUBE_FILLER; TOOTHPASTE_FFS; TP_CARTONER","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production Hall north/west toothpaste zone","Make and package toothpaste","Show wet formulation equipment then tube fill/carton handoff","slow process move with match cut to packaging","eye level","mixing toward tube filling","26","Y","Y","TOOTHPASTE","N","Wet processing; packaging; EOL","Formulation-to-packaging relationship is clear","Packaging object names vary between inventories","Treat exact machine count as proxy","REQUIRED","Do not imply SKU-specific output.","KEEP","Document-closed family/format requirement reconciled to modeled capability group; exact SKU-level equipment fidelity remains outside the frozen visual claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; Brand Strategy slides 2,8-10; Presidential Deck slides 6,9-14; 91-SKU workbook sheets 14(3.4),15(3.4),17(2.5)","M06V02-S044","26","HIGH"
"CH08-08","CH08 — MANUFACTURING","PRODUCTION","Wipes line","Standard wipes","Standard wet wipes","Unwind, lotion, cut, fold, pack, outflow","WIPES_UNWIND_STANDARD; WIPES_LOTION_STANDARD; WIPES_CUT_STANDARD; WIPES_FOLD_STANDARD; WIPES_PACK_STANDARD; WIPES_OUT_STANDARD; PRES_25_WIPES_STANDARD","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production Hall north/east wipes zone","Produce standard wipes","Show line direction across major machine groups and output","slow side-track with 3 detail holds","eye level","unwind to output","26","Y","Y","STANDARD WIPES","N","Medical/baby wipes; flushable wipes; EOL","Line stages are legible as a connected family","Three parallel lines can look identical","Use distinct row labels and color only if R02-consistent","REQUIRED","Family sequence.","KEEP","Document-closed family/format requirement reconciled to modeled capability group; exact SKU-level equipment fidelity remains outside the frozen visual claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; Brand Strategy slides 2,8-10; Presidential Deck slides 6,9-14; 91-SKU workbook sheets 14(3.4),15(3.4),17(2.5)","M06V02-S045","26","HIGH"
"CH08-09","CH08 — MANUFACTURING","PRODUCTION","Wipes line","Medical/baby wipes","Medical and baby wipes","Dedicated parallel line","WIPES_UNWIND_MEDBABY; WIPES_LOTION_MEDBABY; WIPES_CUT_MEDBABY; WIPES_FOLD_MEDBABY; WIPES_PACK_MEDBABY; WIPES_OUT_MEDBABY; PRES_26_WIPES_MEDBABY","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production Hall north/east wipes zone","Specialized wipes family","Show parallel line and distinguish from standard/flushable by labels and route","restrained lateral arc","eye level","parallel to standard line","32","Y","Y","MEDICAL / BABY WIPES","N","Standard wipes; flushable wipes","Distinct capability is identifiable","Parallel equipment repetition","Need careful labels and camera separation","REQUIRED","Multiple-angle family coverage.","KEEP","Document-closed family/format requirement reconciled to modeled capability group; exact SKU-level equipment fidelity remains outside the frozen visual claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; Brand Strategy slides 2,8-10; Presidential Deck slides 6,9-14; 91-SKU workbook sheets 14(3.4),15(3.4),17(2.5)","M06V02-S046","32","HIGH"
"CH08-10","CH08 — MANUFACTURING","PRODUCTION","Wipes line","Flushable wipes","Flushable wipes","Dedicated parallel line and output","WIPES_UNWIND_FLUSHABLE; WIPES_LOTION_FLUSHABLE; WIPES_CUT_FLUSHABLE; WIPES_FOLD_FLUSHABLE; WIPES_PACK_FLUSHABLE; WIPES_OUT_FLUSHABLE; PRES_27_WIPES_FLUSHABLE","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production Hall north/east wipes zone","Specialized wipes family","Show line direction, pack output and family distinction","slow approach and exit toward packaging","eye level","parallel line toward merge conveyor","20","Y","Y","FLUSHABLE WIPES","N","Wipes merge; EOL; FG flow","Flushable line is not reduced to background repetition","Shared merge can confuse output","Show independent path before merge","REQUIRED","End of manufacturing chapter.","KEEP","Document-closed family/format requirement reconciled to modeled capability group; exact SKU-level equipment fidelity remains outside the frozen visual claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; Brand Strategy slides 2,8-10; Presidential Deck slides 6,9-14; 91-SKU workbook sheets 14(3.4),15(3.4),17(2.5)","M06V02-S047","20","HIGH"
"CH09-01","CH09 — PACKAGING + AUTOMATION + LOGISTICS","LOGISTICS","Packaging warehouse","Packaging supply","Packaging Material Warehouse","Racks, aisles, pallets, loading interface","Packaging_Warehouse; PK_RACK_FRAME; PK_PALLET*; PK_LOAD; RM_DOCK; PRES_29_PACKAGING_WAREHOUSE","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","North/east logistics and packaging edge","Stage packaging materials","Show interior rack scale, aisle movement and relation to packaging floor","slow aisle dolly","eye level","down packaging rack aisle","20","Y","Y","PACKAGING WAREHOUSE","N","PK supermarket; packaging lines","Warehouse function is legible","Rack repetition","Need inside view, not only exterior","REQUIRED","Modeled interior coverage.","MERGED_ANCHOR","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S048","32","HIGH"
"CH09-02","CH09 — PACKAGING + AUTOMATION + LOGISTICS","LOGISTICS","Packaging supermarket","Staging","Packaging Material Supermarket","Bins, racks, pallets","PK_SUPERMARKET; PK_SUPER_BIN; PK_RACK_FRAME; PK_PALLET*; PRES_30_SUPERMARKETS","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Packaging staging transition","Short-term line feeding","Show bins/pallets and route to packaging machines","slow lateral track with flow cue","eye level","warehouse to line","24","Y","Y","PK SUPERMARKET","N","Packaging warehouse; EOL","Stage-to-line relationship is visible","Identical bins","Use one restrained flow overlay","REQUIRED","Continuity shot.","MERGED_INTO","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S048","32","HIGH"
"CH09-03","CH09 — PACKAGING + AUTOMATION + LOGISTICS","PRODUCTION","End of line","Automation","End-of-line automation","Robot palletizer, robot arm/base, conveyor, pallets","ROBOT_PALLETIZER; ROBOT_ARM; ROBOT_BASE; POWDER_END_CONVEYOR; FG_PALLET; PRES_22_END_OF_LINE","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production-to-FG boundary","Convert packed cases to pallets","Show conveyor arrival, robot/pallet interface and staged output","slow arc around robot with hold","eye level","conveyor toward palletizer","22","Y","Y","END OF LINE","N","FG staging; AMR; FG warehouse","Process continuity is readable","Robot is static proxy unless animated later","Do not imply operational motion in M06","REQUIRED","Model proves equipment, not live automation.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S049","22","HIGH"
"CH09-04","CH09 — PACKAGING + AUTOMATION + LOGISTICS","LOGISTICS","Internal logistics","AMR spine","AMR / smart internal logistics","Spine, cross, AMR units and tops","AMR_SPINE; AMR_CROSS; AMR_00..06; AMR_TOP_00..06; PRES_31_AMR_LOGISTICS","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Production/logistics transition","Move pallets between zones","Show route network, AMR bodies and pallet relationship; no motion claim","high-to-low route follow with static hold","eye level","along spine toward FG","24","Y","Y","AMR LOGISTICS","N","PK pallets; FG staging; pedestrian safety","Viewer understands infrastructure and intended movement","No animation is present in model","Use planned-route overlay, not animated robot claim","REQUIRED","Prior manifest explicitly notes no AMR animation.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S050","24","HIGH"
"CH09-05","CH09 — PACKAGING + AUTOMATION + LOGISTICS","LOGISTICS","Finished goods","Staging","Finished Goods flow","Stage pallets, racks, load and AMR handoff","FG_STAGE_PALLET*; FG_LOAD; FG_PALLET*; FG_RACK_FRAME; AMR_SPINE; PRES_10_FG_DISPATCH","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","FG staging edge","Connect production to warehouse","Show pallet handoff and direction toward FG warehouse","slow dolly along pallet spine","eye level","staging to warehouse","18","Y","Y","FINISHED GOODS FLOW","N","EOL; FG warehouse; dispatch","Pallet flow has a clear destination","Repeated pallets can hide route","Use elevation change for context","REQUIRED","Bridge to warehouse.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S051","18","HIGH"
"CH09-06","CH09 — PACKAGING + AUTOMATION + LOGISTICS","LOGISTICS","Finished Goods Warehouse","Warehouse","Finished Goods Warehouse","Racks, aisles, docks and loaded pallets","FG_Warehouse; FG_RACK_FRAME; FG_PALLET*; FG_LOAD; FG_DOCK; PRES_32_FG_WAREHOUSE","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","East logistics edge","Store finished goods before dispatch","Enter aisle, show rack scale and connect to dock","slow aisle dolly then pull out","eye level","down aisle to FG dock","22","Y","Y","FINISHED GOODS WAREHOUSE","N","Finished goods flow; dispatch; trucks","Warehouse interior is understood","Dense pallet arrays","Need readable aisle hold","REQUIRED","Interior is non-negotiable.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S052","22","HIGH"
